Num Docs,Altura,Total Nos,Profundidade Media,Profundidade Minima,Max Desbalanceamento,Tempo Total (ms),Comparacoes Medias,Tipo Arvore
1,0,1,0,0,0,0,0,AVL
2,1,2,0.5,1,1,0,0,AVL
3,1,3,0.666667,1,0,0,0,AVL
4,2,4,1,1,1,0,0,AVL
5,2,5,1.2,1,1,0,0,AVL
6,2,6,1.33333,2,1,0,0,AVL
7,2,6,1.33333,2,1,0,0,AVL
8,2,7,1.42857,2,0,0,0,AVL
9,3,8,1.625,2,1,0,0,AVL
10,3,9,1.77778,2,1,0,0,AVL
11,3,10,1.9,2,1,0,0,AVL
12,3,11,2,2,1,0,0,AVL
13,3,12,2.08333,3,1,0,0,AVL
14,3,13,2.15385,3,1,0,0,AVL
15,3,13,2.15385,3,1,0,0,AVL
16,4,14,2.28571,3,1,0,0,AVL
17,4,15,2.4,3,1,0,0,AVL
18,4,16,2.5,3,1,0,0,AVL
19,4,17,2.52941,3,1,0,0,AVL
20,4,18,2.61111,3,1,0,0,AVL
21,4,19,2.68421,3,1,0,0,AVL
22,4,20,2.75,3,1,0,0,AVL
23,4,21,2.80952,3,1,0,0,AVL
24,4,22,2.86364,3,1,0,0,AVL
25,4,23,2.91304,3,1,0,0,AVL
26,5,24,3,3,1,0,0,AVL
27,5,25,3.04,3,1,0,0,AVL
28,5,26,3.11538,3,1,0,0,AVL
29,5,27,3.18519,3,1,0,0,AVL
30,5,28,3.17857,3,1,0,0,AVL
31,5,29,3.2069,3,1,0,0,AVL
32,5,30,3.23333,3,1,0,0,AVL
33,5,31,3.25806,3,1,0,0,AVL
34,5,32,3.3125,3,1,0,0,AVL
35,5,33,3.36364,3,1,0,0,AVL
36,5,34,3.41176,3,1,0,0,AVL
37,5,35,3.45714,3,1,0,0,AVL
38,5,36,3.5,3,1,0,0,AVL
39,5,36,3.5,3,1,0,0,AVL
40,5,36,3.5,3,1,0,0,AVL
41,5,37,3.54054,3,1,0,0,AVL
42,5,38,3.57895,3,1,0,0,AVL
43,5,39,3.61538,3,1,0,0,AVL
44,5,40,3.65,3,1,0,0,AVL
45,5,41,3.68293,3,1,0,0,AVL
46,5,42,3.69048,3,1,0,0,AVL
47,5,43,3.72093,3,1,0,0,AVL
48,5,43,3.72093,3,1,0,0,AVL
49,6,44,3.77273,3,1,0,0,AVL
50,6,45,3.8,3,1,0,0,AVL
51,6,46,3.84783,3,1,0,0,AVL
52,6,47,3.89362,3,1,0,0,AVL
53,6,48,3.91667,3,1,0,0,AVL
54,6,48,3.91667,3,1,0,0,AVL
55,6,49,3.95918,3,1,0,0,AVL
56,6,49,3.95918,3,1,0,0,AVL
57,6,49,3.95918,3,1,0,0,AVL
58,6,50,4,3,1,0,0,AVL
59,6,51,4.03922,3,1,0,0,AVL
60,6,52,4.05769,3,1,0,0,AVL
61,6,53,4.07547,3,1,0,0,AVL
62,6,54,4.11111,3,1,0,0,AVL
63,6,55,4.14545,3,1,0,0,AVL
64,6,56,4.17857,3,1,0,0,AVL
65,6,57,4.17544,4,1,0,0,AVL
66,6,58,4.17241,4,1,0,0,AVL
67,6,58,4.17241,4,1,0,0,AVL
68,6,58,4.17241,4,1,0,0,AVL
69,6,58,4.17241,4,1,0,0,AVL
70,6,59,4.18644,4,1,0,0,AVL
71,6,60,4.21667,4,1,0,0,AVL
72,6,61,4.22951,4,1,0,0,AVL
73,6,62,4.25806,4,1,0,0,AVL
74,6,63,4.28571,4,1,0,0,AVL
75,6,64,4.29688,4,1,0,0,AVL
76,7,65,4.33846,4,1,0,0,AVL
77,7,65,4.33846,4,1,0,0,AVL
78,7,66,4.36364,4,1,0,0,AVL
79,7,67,4.37313,4,1,0,0,AVL
80,7,68,4.38235,4,1,0,0,AVL
81,7,69,4.4058,4,1,0,0,AVL
82,7,70,4.42857,4,1,0,0,AVL
83,7,71,4.4507,4,1,0,0,AVL
84,7,71,4.4507,4,1,0,0,AVL
85,7,71,4.4507,4,1,0,0,AVL
86,7,71,4.4507,4,1,0,0,AVL
87,7,71,4.4507,4,1,0,0,AVL
88,7,71,4.4507,4,1,0,0,AVL
89,7,71,4.4507,4,1,0,0,AVL
90,7,71,4.4507,4,1,0,0,AVL
91,7,72,4.47222,4,1,0,0,AVL
92,7,73,4.50685,4,1,0,0,AVL
93,7,74,4.54054,4,1,0,0,AVL
94,7,75,4.56,4,1,0,0,AVL
95,7,76,4.57895,4,1,0,0,AVL
96,7,77,4.5974,4,1,0,0,AVL
97,7,78,4.58974,4,1,0,0,AVL
98,7,79,4.62025,4,1,0,0,AVL
99,7,80,4.6375,4,1,0,0,AVL
100,7,81,4.66667,4,1,0,0,AVL
