Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.28682,5,1,0.025,0.000193798,0.505882,7,5,991,0,1058,0,5.9774,AVL
2,8,205,5.89756,5,1,0.049,0.000239024,0.401174,8,5,1912,0,2019,0,6.64145,AVL
3,10,574,7.43554,6,1,0.108,0.000188153,0.28041,10,6,9808,0.001,7800,1e-06,7.8,AVL
4,10,604,7.51656,6,1,0.125,0.000206954,0.295066,10,6,10513,0,7676,0,7.676,AVL
5,11,704,7.73722,6,1,0.144,0.000204545,0.171917,11,6,13142,0.013,7815,1.3e-05,7.815,AVL
6,11,806,7.9268,6,1,0.164,0.000203474,0.196825,11,6,15100,0,8133,0,8.133,AVL
7,11,883,8.06342,6,1,0.168,0.00019026,0.215629,11,6,16780,0,8103,0,8.103,AVL
8,11,1113,8.36837,7,1,0.226,0.000203055,0.271795,11,7,22907,0.006,8446,1e-05,8.446,AVL
9,11,1160,8.43017,7,1,0.228,0.000196552,0.283272,11,7,23847,0.008,8572,8e-06,8.572,AVL
10,11,1279,8.57936,7,1,0.257,0.000200938,0.312332,11,7,27097,0,8644,0,8.644,AVL
11,12,1407,8.72139,8,1,0.308,0.000218905,0.171774,12,8,31109,0,8682,0,8.682,AVL
12,12,1463,8.77649,8,1,0.348,0.000237867,0.178611,12,8,32857,0,8658,0,8.658,AVL
13,12,1526,8.82962,8,1,0.505,0.000330931,0.186302,12,8,34534,0,8814,0,8.814,AVL
14,12,1671,8.96589,8,1,0.802,0.000479952,0.204004,12,8,39211,0,8976,0,8.976,AVL
15,12,1824,9.08333,8,1,0.969,0.00053125,0.222683,12,8,45431,0,8902,0,8.902,AVL
16,12,1924,9.1762,8,1,0.992,0.000515593,0.234892,12,8,48742,0,9010,0,9.01,AVL
17,12,1994,9.2332,8,1,1,0.000501505,0.243438,12,8,51388,0,8915,0,8.915,AVL
18,12,2057,9.28439,8,1,1.056,0.000513369,0.251129,12,8,53427,0,9002,0,9.002,AVL
19,12,2119,9.33082,8,1,1.086,0.000512506,0.258699,12,8,55688,0,9007,0,9.007,AVL
20,13,2314,9.45376,8,1,1.191,0.000514693,0.141244,13,8,65621,0,9072,0,9.072,AVL
21,13,2435,9.53265,8,1,1.25,0.000513347,0.14863,13,8,70379,0.005,9294,1.4e-05,9.294,AVL
