Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,14,129,6.86047,4,0,0.026,0.00020155,0.00393689,14,4,1184,0.001,1282,1.12994e-05,7.24294,BST
2,16,205,7.8439,4,0,0.033,0.000160976,0.00156404,16,4,2298,0.001,2496,6.57895e-06,8.21053,BST
3,21,574,10.3728,5,0,0.07,0.000121951,0.000136852,21,5,12474,0.001,10043,2.8e-05,10.043,BST
4,21,604,10.5116,5,0,0.098,0.000162252,0.000144005,21,5,13291,0.016,10002,1.8e-05,10.002,BST
5,21,704,10.8849,5,0,0.113,0.000160511,0.000167847,21,5,16692,0.001,10007,2e-06,10.007,BST
6,22,806,11.2035,5,0,0.144,0.00017866,9.60827e-05,22,5,19189,0.011,10393,1.6e-05,10.393,BST
7,22,883,11.3533,5,0,0.157,0.000177803,0.000105262,22,5,21271,0.001,10343,2e-06,10.343,BST
8,23,1113,11.8095,5,0,0.199,0.000178796,6.634e-05,23,5,28925,0.001,10152,6e-06,10.152,BST
9,23,1160,11.8672,5,0,0.2,0.000172414,6.91414e-05,23,5,30067,0.001,10470,4e-06,10.47,BST
10,23,1279,12.0235,5,0,0.224,0.000175137,7.62343e-05,23,5,34085,0.001,10618,1.2e-05,10.618,BST
11,23,1407,12.2203,5,0,0.276,0.000196162,8.38637e-05,23,5,39172,0.001,10935,4e-06,10.935,BST
12,23,1463,12.3049,5,0,0.288,0.000196856,8.72016e-05,23,5,41251,0.001,11054,3e-06,11.054,BST
13,23,1526,12.3886,5,0,0.3,0.000196592,9.09567e-05,23,5,43374,0.001,10647,2e-06,10.647,BST
14,23,1671,12.5697,5,0,0.332,0.000198683,9.95994e-05,23,5,48970,0.035,11048,7.8e-05,11.048,BST
15,23,1824,12.693,5,0,0.368,0.000201754,0.000108719,23,5,56357,0.02,10920,3.5e-05,10.92,BST
16,24,1924,12.841,5,0,0.374,0.000194387,5.73397e-05,24,5,60569,0.001,11082,3.7e-05,11.082,BST
17,24,1994,12.9007,5,0,0.375,0.000188064,5.94258e-05,24,5,63842,0.001,11227,3.3e-05,11.227,BST
18,24,2057,12.9363,5,0,0.411,0.000199806,6.13034e-05,24,5,66258,0.001,10865,2.1e-05,10.865,BST
19,24,2119,12.9873,5,0,0.415,0.000195847,6.31511e-05,24,5,69032,0.001,11268,6.3e-05,11.268,BST
20,26,2314,13.1832,5,0,0.462,0.000199654,1.72406e-05,26,5,81537,0.141,10857,0.001228,10.857,BST
21,26,2435,13.2591,5,0,0.476,0.000195483,1.81422e-05,26,5,87338,0.003,11214,0.000111,11.214,BST
22,26,2470,13.302,5,0,0.478,0.000193522,1.84029e-05,26,5,89796,0.004,11334,6.2e-05,11.334,BST
23,26,2591,13.4052,5,0,0.604,0.000233115,1.93045e-05,26,5,97379,0.005,11640,0.00011,11.64,BST
24,26,2632,13.4574,5,0,0.668,0.000253799,1.96099e-05,26,5,99550,0.001,11208,3e-06,11.208,BST
25,26,2682,13.5052,5,0,0.699,0.000260626,1.99825e-05,26,5,102864,0.002,11709,5e-06,11.709,BST
26,26,2771,13.5532,5,0,0.774,0.000279322,2.06456e-05,26,5,108606,0.001,11407,3e-06,11.407,BST
27,26,2828,13.6199,5,0,0.805,0.000284653,2.10702e-05,26,5,112400,0.002,11588,2e-06,11.588,BST
28,27,3002,13.7372,5,0,0.861,0.000286809,1.11833e-05,27,5,121913,0,11629,0,11.629,BST
29,27,3055,13.7617,5,0,0.881,0.00028838,1.13808e-05,27,5,124984,0.002,11433,4e-06,11.433,BST
30,27,3160,13.8228,5,0,0.888,0.000281013,1.17719e-05,27,5,131380,0.002,11626,4e-06,11.626,BST
31,27,3191,13.843,5,0,0.891,0.000279223,1.18874e-05,27,5,133076,0.002,11621,3e-06,11.621,BST
32,27,3249,13.9049,5,0,0.935,0.000287781,1.21035e-05,27,5,138096,0.01,11344,2.5e-05,11.344,BST
33,27,3340,13.95,5,0,0.937,0.000280539,1.24425e-05,27,5,144906,0.002,11662,2e-06,11.662,BST
34,27,3388,13.9678,5,0,0.946,0.000279221,1.26213e-05,27,5,148035,0,11617,0,11.617,BST
35,27,3448,14.0015,5,0,1.019,0.000295534,1.28448e-05,27,5,151842,0.002,11507,2e-06,11.507,BST
36,27,3526,14.0485,5,0,1.022,0.000289847,1.31354e-05,27,5,157521,0,11764,0,11.764,BST
37,27,3545,14.0578,5,0,1.022,0.000288293,1.32062e-05,27,5,158230,0.003,11538,3e-06,11.538,BST
38,27,3566,14.0771,5,0,1.024,0.000287156,1.32844e-05,27,5,160786,0,11649,0,11.649,BST
