Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,14,129,6.86047,4,0,0.031,0.00024031,0.00393689,14,4,1184,0,1313,0,7.41808,BST
2,16,205,7.8439,4,0,0.048,0.000234146,0.00156404,16,4,2298,0,2503,0,8.23355,BST
3,21,574,10.3728,5,0,0.394,0.000686411,0.000136852,21,5,12474,0.001,9833,1e-06,9.833,BST
4,21,604,10.5116,5,0,0.441,0.000730132,0.000144005,21,5,13291,0,9928,0,9.928,BST
5,21,704,10.8849,5,0,0.585,0.000830966,0.000167847,21,5,16692,0.001,10071,9e-06,10.071,BST
6,22,806,11.2035,5,0,0.653,0.000810174,9.60827e-05,22,5,19189,0.102,10191,0.000384,10.191,BST
7,22,883,11.3533,5,0,0.679,0.000768969,0.000105262,22,5,21271,0.101,10433,0.00043,10.433,BST
8,23,1113,11.8095,5,0,1.053,0.000946092,6.634e-05,23,5,28925,0.001,10535,7e-06,10.535,BST
9,23,1160,11.8672,5,0,1.087,0.000937069,6.91414e-05,23,5,30067,0.089,10615,0.000808,10.615,BST
10,23,1279,12.0235,5,0,1.092,0.000853792,7.62343e-05,23,5,34085,0.069,10557,0.000546,10.557,BST
11,23,1407,12.2203,5,0,1.162,0.000825871,8.38637e-05,23,5,39172,0.001,10602,2e-05,10.602,BST
12,23,1463,12.3049,5,0,1.192,0.000814764,8.72016e-05,23,5,41251,0.006,11001,0.000133,11.001,BST
13,23,1526,12.3886,5,0,1.231,0.000806684,9.09567e-05,23,5,43374,0.002,10988,2.5e-05,10.988,BST
14,23,1671,12.5697,5,0,1.29,0.000771993,9.95994e-05,23,5,48970,0.001,10736,1.2e-05,10.736,BST
15,23,1824,12.693,5,0,1.426,0.000781798,0.000108719,23,5,56357,0.002,11069,1e-05,11.069,BST
16,24,1924,12.841,5,0,1.46,0.000758836,5.73397e-05,24,5,60569,0.001,11236,1.7e-05,11.236,BST
17,24,1994,12.9007,5,0,1.545,0.000774824,5.94258e-05,24,5,63842,0.012,10810,6.6e-05,10.81,BST
18,24,2057,12.9363,5,0,1.726,0.000839086,6.13034e-05,24,5,66258,0.001,10881,1.2e-05,10.881,BST
19,24,2119,12.9873,5,0,1.91,0.000901369,6.31511e-05,24,5,69032,0.002,10956,1.2e-05,10.956,BST
20,26,2314,13.1832,5,0,2.125,0.000918323,1.72406e-05,26,5,81537,0.002,11310,6.6e-05,11.31,BST
21,26,2435,13.2591,5,0,2.246,0.000922382,1.81422e-05,26,5,87338,0.001,11545,2e-05,11.545,BST
22,26,2470,13.302,5,0,2.267,0.000917814,1.84029e-05,26,5,89796,0.011,11397,2.3e-05,11.397,BST
