Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.23256,5,3,0.019,0.000147287,0.505882,7,5,1006,0,1096,0,6.19209,RBT
2,8,205,5.94634,5,3,0.024,0.000117073,0.401174,8,5,1922,0.001,2010,3.28947e-06,6.61184,RBT
3,11,574,7.41986,7,6,0.061,0.000106272,0.140171,11,7,9978,0,7941,0,7.941,RBT
4,11,604,7.50662,7,6,0.073,0.000120861,0.147497,11,7,10706,0,7987,0,7.987,RBT
5,11,704,7.72017,7,6,0.091,0.000129261,0.171917,11,7,13399,0.004,8065,4e-06,8.065,RBT
6,11,806,7.9268,7,6,0.104,0.000129032,0.196825,11,7,15448,0.001,8265,1e-06,8.265,RBT
7,11,883,8.05776,7,6,0.107,0.000121178,0.215629,11,7,17187,0.009,8431,9e-06,8.431,RBT
8,11,1113,8.39892,7,6,0.145,0.000130279,0.271795,11,7,23574,0.001,8740,3e-06,8.74,RBT
9,12,1160,8.48017,7,6,0.145,0.000125,0.141619,12,7,24525,0.001,8820,1e-06,8.82,RBT
10,12,1279,8.62627,7,6,0.176,0.000137608,0.156147,12,7,27917,0.001,8936,4e-06,8.936,RBT
11,12,1407,8.76546,7,6,0.484,0.000343994,0.171774,12,7,32083,0.001,8905,2e-06,8.905,RBT
12,12,1463,8.82297,7,6,0.487,0.000332878,0.178611,12,7,33866,0.008,9098,1.3e-05,9.098,RBT
13,12,1526,8.88663,7,6,0.487,0.000319135,0.186302,12,7,35647,0.002,9075,4e-06,9.075,RBT
14,12,1671,9.02693,7,6,0.514,0.0003076,0.204004,12,7,40496,0.002,9145,4e-06,9.145,RBT
15,12,1824,9.16502,8,5,0.556,0.000304825,0.222683,12,8,47005,0.001,9222,1e-06,9.222,RBT
16,13,1924,9.25156,8,5,0.56,0.00029106,0.117439,13,8,50453,0,9448,0,9.448,RBT
17,13,1994,9.30843,8,5,0.561,0.000281344,0.121712,13,8,53168,0.207,9395,0.000343,9.395,RBT
18,13,2057,9.36364,8,5,0.598,0.000290715,0.125557,13,8,55305,0.117,9440,0.000167,9.44,RBT
19,13,2119,9.40916,8,5,0.598,0.000282209,0.129341,13,8,57663,0.232,9453,0.000789,9.453,RBT
20,13,2314,9.55143,8,5,0.642,0.000277442,0.141244,13,8,68302,0.001,9626,1.5e-05,9.626,RBT
21,13,2435,9.6345,8,5,0.648,0.000266119,0.14863,13,8,73344,0.001,9730,1e-06,9.73,RBT
22,13,2470,9.65425,8,5,0.648,0.000262348,0.150766,13,8,75403,0.311,9887,0.003109,9.887,RBT
23,13,2591,9.71787,8,5,0.713,0.000275183,0.158152,13,8,81637,0.089,9951,0.000688,9.951,RBT
24,13,2632,9.74582,8,5,0.714,0.000271277,0.160654,13,8,83430,0.044,9680,0.000583,9.68,RBT
25,14,2682,9.76846,8,5,0.715,0.000266592,0.0818506,14,8,86298,0.002,9774,3e-06,9.774,RBT
26,14,2771,9.81812,8,5,0.76,0.000274269,0.0845668,14,8,91291,0.01,9891,1.7e-05,9.891,RBT
27,14,2828,9.84724,8,5,0.764,0.000270156,0.0863063,14,8,94425,0.001,9755,1e-06,9.755,RBT
28,14,3002,9.94404,8,5,0.806,0.000268488,0.0916166,14,8,102612,0.001,9856,3e-06,9.856,RBT
29,14,3055,9.9689,8,5,0.857,0.000280524,0.093234,14,8,105302,0.01,9857,1.1e-05,9.857,RBT
30,14,3160,10.0222,8,5,0.889,0.000281329,0.0964385,14,8,110943,0.002,9686,2e-06,9.686,RBT
31,14,3191,10.0382,8,5,0.903,0.000282983,0.0973846,14,8,112407,0.085,10007,0.000982,10.007,RBT
32,14,3249,10.0634,8,5,0.953,0.000293321,0.0991546,14,8,116546,0.004,9855,0.000131,9.855,RBT
33,14,3340,10.1006,8,5,0.954,0.000285629,0.101932,14,8,122304,0.001,9774,1e-06,9.774,RBT
34,14,3388,10.1234,8,5,0.955,0.000281877,0.103397,14,8,124937,0,9693,0,9.693,RBT
35,14,3448,10.1465,8,5,1.036,0.000300464,0.105228,14,8,128150,0.004,9823,4e-06,9.823,RBT
36,14,3526,10.1807,8,5,1.052,0.000298355,0.107608,14,8,132979,0,9804,0,9.804,RBT
37,14,3545,10.189,8,5,1.054,0.00029732,0.108188,14,8,133588,0.007,9916,8e-06,9.916,RBT
38,14,3566,10.1988,8,5,1.056,0.00029613,0.108829,14,8,135788,0,9933,0,9.933,RBT
39,14,3581,10.2047,8,5,1.058,0.000295448,0.109287,14,8,136785,0,9943,0,9.943,RBT
40,14,3626,10.2259,8,5,1.116,0.000307777,0.11066,14,8,139584,0.002,9900,2e-06,9.9,RBT
41,14,3793,10.2895,8,5,1.191,0.000313999,0.115757,14,8,150715,0.004,9946,2.2e-05,9.946,RBT
42,14,3861,10.3157,8,5,1.192,0.000308728,0.117832,14,8,153962,0.001,10087,2.7e-05,10.087,RBT
43,14,3952,10.353,8,5,1.207,0.000305415,0.120609,14,8,160040,0.001,10010,1e-06,10.01,RBT
44,14,3975,10.362,8,5,1.213,0.000305157,0.121311,14,8,162007,0.001,10133,1e-06,10.133,RBT
45,14,4047,10.3862,8,5,1.252,0.000309365,0.123508,14,8,167107,0.001,10009,1e-06,10.009,RBT
46,14,4079,10.3976,8,5,1.263,0.000309635,0.124485,14,8,169606,0,10081,0,10.081,RBT
47,14,4123,10.4145,8,5,1.394,0.000338103,0.125828,14,8,173341,0.002,9809,2e-06,9.809,RBT
