Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.23256,5,3,0.021,0.000162791,0.505882,7,5,1006,0,1091,0,6.16384,BRT
2,8,205,5.94634,5,3,0.032,0.000156098,0.401174,8,5,1922,0.003,2058,9.86842e-06,6.76974,BRT
3,11,574,7.41986,7,6,0.215,0.000374564,0.140171,11,7,9978,0,7863,0,7.863,BRT
4,11,604,7.50662,7,6,0.221,0.000365894,0.147497,11,7,10706,0,8017,0,8.017,BRT
5,11,704,7.72017,7,6,0.329,0.00046733,0.171917,11,7,13399,0.041,8078,7.2e-05,8.078,BRT
6,11,806,7.9268,7,6,0.352,0.000436725,0.196825,11,7,15448,0.04,8302,0.000164,8.302,BRT
7,11,883,8.05776,7,6,0.377,0.000426954,0.215629,11,7,17187,0.001,8456,1e-06,8.456,BRT
8,11,1113,8.39892,7,6,0.421,0.000378257,0.271795,11,7,23574,0.376,8736,0.002248,8.736,BRT
9,12,1160,8.48017,7,6,0.452,0.000389655,0.141619,12,7,24525,0.004,8860,0.000176,8.86,BRT
10,12,1279,8.62627,7,6,0.456,0.000356529,0.156147,12,7,27917,0.005,8890,8.4e-05,8.89,BRT
11,12,1407,8.76546,7,6,0.532,0.000378109,0.171774,12,7,32083,0.013,8988,2.1e-05,8.988,BRT
12,12,1463,8.82297,7,6,0.558,0.000381408,0.178611,12,7,33866,0.001,9042,6e-06,9.042,BRT
13,12,1526,8.88663,7,6,0.592,0.000387942,0.186302,12,7,35647,0.022,9104,2.8e-05,9.104,BRT
14,12,1671,9.02693,7,6,0.607,0.000363256,0.204004,12,7,40496,0.009,8968,1.1e-05,8.968,BRT
15,12,1824,9.16502,8,5,0.62,0.000339912,0.222683,12,8,47005,0.009,9324,2.5e-05,9.324,BRT
16,13,1924,9.25156,8,5,0.643,0.0003342,0.117439,13,8,50453,0.001,9402,2e-06,9.402,BRT
17,13,1994,9.30843,8,5,0.698,0.00035005,0.121712,13,8,53168,0.001,9436,1e-06,9.436,BRT
18,13,2057,9.36364,8,5,0.706,0.000343218,0.125557,13,8,55305,0.001,9525,5e-06,9.525,BRT
19,13,2119,9.40916,8,5,0.719,0.000339311,0.129341,13,8,57663,0.001,9598,7e-06,9.598,BRT
20,13,2314,9.55143,8,5,0.799,0.00034529,0.141244,13,8,68302,0.001,9727,1e-06,9.727,BRT
21,13,2435,9.6345,8,5,0.86,0.000353183,0.14863,13,8,73344,0.001,9692,6e-06,9.692,BRT
22,13,2470,9.65425,8,5,0.868,0.000351417,0.150766,13,8,75403,0.002,9629,3e-05,9.629,BRT
23,13,2591,9.71787,8,5,0.973,0.000375531,0.158152,13,8,81637,0.013,9639,2.8e-05,9.639,BRT
24,13,2632,9.74582,8,5,1.052,0.000399696,0.160654,13,8,83430,0.001,9750,3e-06,9.75,BRT
25,14,2682,9.76846,8,5,1.067,0.000397837,0.0818506,14,8,86298,0.001,9667,7e-06,9.667,BRT
26,14,2771,9.81812,8,5,1.236,0.000446048,0.0845668,14,8,91291,0.001,9812,3e-06,9.812,BRT
27,14,2828,9.84724,8,5,1.289,0.000455799,0.0863063,14,8,94425,0.001,9837,1e-05,9.837,BRT
28,14,3002,9.94404,8,5,1.537,0.000511992,0.0916166,14,8,102612,0.003,9843,1.6e-05,9.843,BRT
29,14,3055,9.9689,8,5,1.591,0.000520786,0.093234,14,8,105302,0.001,9830,1.6e-05,9.83,BRT
30,14,3160,10.0222,8,5,1.603,0.000507278,0.0964385,14,8,110943,0.001,9933,8e-06,9.933,BRT
31,14,3191,10.0382,8,5,1.659,0.0005199,0.0973846,14,8,112407,0.011,9878,2.1e-05,9.878,BRT
32,14,3249,10.0634,8,5,1.703,0.000524161,0.0991546,14,8,116546,0.001,9709,4e-06,9.709,BRT
33,14,3340,10.1006,8,5,1.865,0.000558383,0.101932,14,8,122304,0.001,9707,1.2e-05,9.707,BRT
34,14,3388,10.1234,8,5,2.022,0.000596812,0.103397,14,8,124937,0.003,9795,1.7e-05,9.795,BRT
35,14,3448,10.1465,8,5,2.163,0.00062732,0.105228,14,8,128150,0.002,9822,1.7e-05,9.822,BRT
36,14,3526,10.1807,8,5,2.315,0.000656551,0.107608,14,8,132979,0.002,10079,1.2e-05,10.079,BRT
37,14,3545,10.189,8,5,2.335,0.000658674,0.108188,14,8,133588,0.002,9911,2.6e-05,9.911,BRT
38,14,3566,10.1988,8,5,2.474,0.000693775,0.108829,14,8,135788,0.002,10018,9e-06,10.018,BRT
39,14,3581,10.2047,8,5,2.497,0.000697291,0.109287,14,8,136785,0.009,9832,1.7e-05,9.832,BRT
40,14,3626,10.2259,8,5,2.582,0.000712079,0.11066,14,8,139584,0.001,9803,5e-06,9.803,BRT
41,14,3793,10.2895,8,5,3.001,0.000791194,0.115757,14,8,150715,0.002,9978,2.3e-05,9.978,BRT
42,14,3861,10.3157,8,5,3.087,0.000799534,0.117832,14,8,153962,0.002,9874,3.5e-05,9.874,BRT
43,14,3952,10.353,8,5,3.249,0.000822115,0.120609,14,8,160040,0.001,9920,1.2e-05,9.92,BRT
44,14,3975,10.362,8,5,3.313,0.000833459,0.121311,14,8,162007,0.001,10083,1.3e-05,10.083,BRT
45,14,4047,10.3862,8,5,3.426,0.000846553,0.123508,14,8,167107,0.001,9897,1e-05,9.897,BRT
46,14,4079,10.3976,8,5,3.573,0.00087595,0.124485,14,8,169606,0.011,9986,3.2e-05,9.986,BRT
47,14,4123,10.4145,8,5,3.843,0.000932088,0.125828,14,8,173341,0.001,10052,3.1e-05,10.052,BRT
48,14,4137,10.4194,8,5,3.923,0.000948272,0.126255,14,8,175141,0.003,9829,1.7e-05,9.829,BRT
49,14,4317,10.4422,8,5,4.233,0.000980542,0.131748,14,8,186269,0.062,10065,0.000149,10.065,BRT
50,14,4378,10.4637,8,5,4.333,0.000989721,0.13361,14,8,191745,0.001,10143,9e-06,10.143,BRT
51,14,4451,10.4855,8,5,4.532,0.0010182,0.135838,14,8,196967,0.002,10046,1.5e-05,10.046,BRT
52,14,4543,10.5219,8,6,4.718,0.00103852,0.138646,14,8,203078,0.072,10019,0.000153,10.019,BRT
53,14,4614,10.5488,8,6,4.744,0.00102818,0.140812,14,8,208869,0.001,10032,1.8e-05,10.032,BRT
54,14,4653,10.5652,8,6,4.814,0.0010346,0.142003,14,8,212101,0.003,10133,2.4e-05,10.133,BRT
55,14,4664,10.5682,8,6,4.819,0.00103323,0.142338,14,8,213317,0.001,10042,2.7e-05,10.042,BRT
56,14,4673,10.5716,8,6,4.829,0.00103338,0.142613,14,8,214436,0.001,9979,1.2e-05,9.979,BRT
57,14,4734,10.5898,9,6,4.871,0.00102894,0.144475,14,9,218982,0.01,10128,2.1e-05,10.128,BRT
58,14,4770,10.5998,9,6,4.966,0.00104109,0.145573,14,9,221338,0.009,9976,3.8e-05,9.976,BRT
59,14,4802,10.6104,9,6,5.059,0.00105352,0.14655,14,9,223966,0.001,10012,9e-06,10.012,BRT
60,14,4831,10.6204,9,6,5.071,0.00104968,0.147435,14,9,225901,0.002,10068,5.2e-05,10.068,BRT
61,14,4858,10.6307,9,6,5.086,0.00104693,0.148259,14,9,227436,0.002,10103,0.000127,10.103,BRT
62,14,4886,10.6019,9,6,5.109,0.00104564,0.149113,14,9,229292,0.017,10209,8.6e-05,10.209,BRT
63,15,4926,10.6145,9,6,5.122,0.00103979,0.0751659,15,9,232731,0.003,10099,0.000135,10.099,BRT
64,15,4971,10.6246,9,6,5.202,0.00104647,0.0758526,15,9,235746,0.003,10036,0.000153,10.036,BRT
65,15,5032,10.6425,9,6,5.27,0.0010473,0.0767834,15,9,241496,0.013,10094,8.9e-05,10.094,BRT
66,15,5056,10.6509,9,6,5.366,0.00106131,0.0771496,15,9,246035,0.002,10130,5.7e-05,10.13,BRT
67,15,5107,10.6659,9,6,5.557,0.00108811,0.0779278,15,9,251383,0.002,10112,1.2e-05,10.112,BRT
68,15,5136,10.6748,9,6,5.614,0.00109307,0.0783703,15,9,253767,0.001,10057,2.3e-05,10.057,BRT
69,15,5158,10.6801,9,6,5.676,0.00110043,0.078706,15,9,256413,0.002,10108,2e-05,10.108,BRT
70,15,5197,10.6917,9,6,5.807,0.00111738,0.0793011,15,9,259138,0.001,10076,1.6e-05,10.076,BRT
71,15,5246,10.7059,9,6,5.937,0.00113172,0.0800488,15,9,263438,0.001,10218,2e-05,10.218,BRT
72,15,5272,10.7123,9,6,6.008,0.00113961,0.0804456,15,9,266100,0.004,10160,5.2e-05,10.16,BRT
73,15,5317,10.726,9,6,6.185,0.00116325,0.0811322,15,9,270650,0.001,10124,8e-06,10.124,BRT
74,15,5393,10.7491,9,6,6.43,0.00119229,0.0822919,15,9,279080,0.01,10147,2.1e-05,10.147,BRT
75,15,5411,10.7538,9,6,6.489,0.00119922,0.0825666,15,9,281094,0.008,10079,2.1e-05,10.079,BRT
76,15,5483,10.7691,9,6,6.714,0.00122451,0.0836652,15,9,290244,0.002,10175,3.1e-05,10.175,BRT
77,15,5544,10.7864,9,6,6.874,0.0012399,0.084596,15,9,294123,0.001,10181,2.3e-05,10.181,BRT
78,15,5580,10.797,9,6,7.07,0.00126703,0.0851453,15,9,298092,0.002,10084,1.9e-05,10.084,BRT
79,15,5638,10.8182,9,6,7.322,0.00129869,0.0860304,15,9,304603,0.001,10305,2.5e-05,10.305,BRT
80,15,5715,10.8413,9,6,7.649,0.00133841,0.0872053,15,9,310949,0.001,10140,1.5e-05,10.14,BRT
81,15,5765,10.8555,9,6,7.784,0.00135022,0.0879683,15,9,314952,0.587,10110,0.000629,10.11,BRT
82,15,5834,10.8701,9,6,8.021,0.00137487,0.0890211,15,9,322712,0.137,10257,0.000545,10.257,BRT
83,15,5919,10.8871,9,6,8.376,0.0014151,0.0903182,15,9,337385,0.003,10187,0.000102,10.187,BRT
84,15,5975,10.9014,9,6,8.571,0.00143448,0.0911727,15,9,343616,0.003,10228,0.000198,10.228,BRT
85,15,5988,10.9043,9,6,8.614,0.00143854,0.091371,15,9,344919,0.002,10219,3.9e-05,10.219,BRT
86,15,6006,10.9084,9,6,8.661,0.00144206,0.0916457,15,9,346005,0.003,10139,9.8e-05,10.139,BRT
87,15,6020,10.9125,9,6,8.762,0.00145548,0.0918593,15,9,347062,0.003,10176,9.4e-05,10.176,BRT
88,15,6036,10.9178,9,6,8.856,0.0014672,0.0921035,15,9,348929,0.016,10101,9.3e-05,10.101,BRT
89,15,6095,10.927,9,6,9.06,0.00148646,0.0930037,15,9,357554,0.003,10200,0.000178,10.2,BRT
90,15,6117,10.933,9,6,9.146,0.00149518,0.0933394,15,9,359036,0.002,10304,2.5e-05,10.304,BRT
91,15,6185,10.9513,9,6,9.306,0.00150461,0.0943771,15,9,367142,0.466,10294,0.001099,10.294,BRT
92,15,6243,10.9641,9,6,9.504,0.00152235,0.0952621,15,9,373859,0.006,10285,0.000367,10.285,BRT
93,15,6312,10.9807,9,6,9.794,0.00155165,0.0963149,15,9,385355,0.153,10376,0.000589,10.376,BRT
94,15,6374,10.9944,9,6,9.977,0.00156527,0.097261,15,9,392904,0.014,10295,0.000241,10.295,BRT
95,15,6435,11.0067,9,6,10.142,0.00157607,0.0981918,15,9,400188,0.006,10389,0.000345,10.389,BRT
96,15,6491,11.0196,9,6,10.197,0.00157094,0.0990463,15,9,406517,0.045,10225,0.000357,10.225,BRT
97,15,6516,11.0259,9,6,10.292,0.0015795,0.0994278,15,9,410063,0.003,10384,0.00014,10.384,BRT
98,15,6556,11.0346,9,6,10.355,0.00157947,0.100038,15,9,413426,0.113,10247,0.000509,10.247,BRT
99,15,6603,11.0442,9,6,10.522,0.00159352,0.100755,15,9,420371,0.002,10289,4.9e-05,10.289,BRT
