Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tipo_Arvore
1,7,129,5.28682,5,1,0.029,0.000224806,0.505882,7,5,991,AVL
2,8,205,5.89756,5,1,0.04,0.000195122,0.401174,8,5,1912,AVL
3,10,574,7.43554,6,1,0.142,0.000247387,0.28041,10,6,9808,AVL
4,10,604,7.51656,6,1,0.151,0.00025,0.295066,10,6,10513,AVL
5,11,704,7.73722,6,1,0.187,0.000265625,0.171917,11,6,13142,AVL
6,11,806,7.9268,6,1,0.246,0.000305211,0.196825,11,6,15100,AVL
7,11,883,8.06342,6,1,0.284,0.000321631,0.215629,11,6,16780,AVL
8,11,1113,8.36837,7,1,0.381,0.000342318,0.271795,11,7,22907,AVL
9,11,1160,8.43017,7,1,0.429,0.000369828,0.283272,11,7,23847,AVL
10,11,1279,8.57936,7,1,0.477,0.000372948,0.312332,11,7,27097,AVL
11,12,1407,8.72139,8,1,0.618,0.000439232,0.171774,12,8,31109,AVL
12,12,1463,8.77649,8,1,0.704,0.000481203,0.178611,12,8,32857,AVL
13,12,1526,8.82962,8,1,0.807,0.000528834,0.186302,12,8,34534,AVL
14,12,1671,8.96589,8,1,1.008,0.000603232,0.204004,12,8,39211,AVL
15,12,1824,9.08333,8,1,1.243,0.000681469,0.222683,12,8,45431,AVL
16,12,1924,9.1762,8,1,1.417,0.000736486,0.234892,12,8,48742,AVL
17,12,1994,9.2332,8,1,1.604,0.000804413,0.243438,12,8,51388,AVL
18,12,2057,9.28439,8,1,1.705,0.000828877,0.251129,12,8,53427,AVL
19,12,2119,9.33082,8,1,1.825,0.000861255,0.258699,12,8,55688,AVL
20,13,2314,9.45376,8,1,2.327,0.00100562,0.141244,13,8,65621,AVL
21,13,2435,9.53265,8,1,2.549,0.00104682,0.14863,13,8,70379,AVL
22,13,2470,9.55304,8,1,2.632,0.00106559,0.150766,13,8,72310,AVL
23,13,2591,9.61173,8,1,3.086,0.00119105,0.158152,13,8,78304,AVL
24,13,2632,9.62994,8,1,3.207,0.00121847,0.160654,13,8,80023,AVL
25,13,2682,9.66145,8,1,3.346,0.00124758,0.163706,13,8,82706,AVL
26,13,2771,9.70805,8,1,3.636,0.00131216,0.169139,13,8,87437,AVL
27,13,2828,9.73444,8,1,3.767,0.00133204,0.172618,13,8,90458,AVL
28,13,3002,9.81779,8,1,4.226,0.00140773,0.183239,13,8,98329,AVL
29,13,3055,9.84124,8,1,4.31,0.0014108,0.186474,13,8,100905,AVL
30,13,3160,9.88449,8,1,4.412,0.0013962,0.192883,13,8,106329,AVL
31,13,3191,9.89784,8,1,4.565,0.00143059,0.194775,13,8,107744,AVL
32,13,3249,9.92305,8,1,4.651,0.00143152,0.198315,13,8,111766,AVL
33,13,3340,9.96138,9,1,4.995,0.00149551,0.20387,13,9,117344,AVL
34,13,3388,9.97668,9,1,5.306,0.00156612,0.2068,13,9,119878,AVL
35,13,3448,10.0015,9,1,5.522,0.00160151,0.210462,13,9,122975,AVL
36,13,3526,10.0357,9,1,5.737,0.00162706,0.215223,13,9,127630,AVL
37,13,3545,10.0463,9,1,5.768,0.00162708,0.216383,13,9,128209,AVL
38,13,3566,10.0558,9,1,5.893,0.00165255,0.217665,13,9,130309,AVL
39,13,3581,10.062,9,1,5.993,0.00167355,0.21858,13,9,131279,AVL
40,13,3626,10.0822,9,1,6.098,0.00168174,0.221327,13,9,133973,AVL
41,13,3793,10.1526,9,1,6.585,0.00173609,0.23152,13,9,144667,AVL
42,13,3861,10.1782,9,1,6.679,0.00172986,0.235671,13,9,147812,AVL
43,14,3952,10.2123,9,1,6.797,0.00171989,0.120609,14,9,153821,AVL
44,14,3975,10.2209,9,1,6.908,0.00173786,0.121311,14,9,155688,AVL
45,14,4047,10.2473,9,1,7.005,0.00173091,0.123508,14,9,160665,AVL
46,14,4079,10.2594,9,1,7.09,0.00173817,0.124485,14,9,163104,AVL
47,14,4123,10.2765,9,1,7.309,0.00177274,0.125828,14,9,166696,AVL
48,14,4137,10.2816,9,1,7.412,0.00179164,0.126255,14,9,168487,AVL
49,14,4317,10.3407,9,1,7.692,0.00178179,0.131748,14,9,179280,AVL
50,14,4378,10.3627,9,1,7.796,0.00178072,0.13361,14,9,184676,AVL
51,14,4451,10.3853,9,1,7.953,0.00178679,0.135838,14,9,189804,AVL
52,14,4543,10.414,9,1,8.251,0.0018162,0.138646,14,9,195762,AVL
53,14,4614,10.4382,9,1,8.39,0.00181838,0.140812,14,9,201459,AVL
54,14,4653,10.4496,9,1,8.535,0.0018343,0.142003,14,9,204717,AVL
55,14,4664,10.4526,9,1,8.568,0.00183705,0.142338,14,9,205896,AVL
56,14,4673,10.4545,9,1,8.601,0.00184057,0.142613,14,9,207002,AVL
57,14,4734,10.4753,9,1,8.745,0.00184728,0.144475,14,9,211436,AVL
58,14,4770,10.4857,9,1,8.845,0.0018543,0.145573,14,9,213723,AVL
59,14,4802,10.4979,9,1,9.019,0.00187818,0.14655,14,9,216322,AVL
60,14,4831,10.5076,9,1,9.064,0.00187622,0.147435,14,9,218205,AVL
61,14,4858,10.5161,9,1,9.089,0.00187093,0.148259,14,9,219649,AVL
62,14,4886,10.5239,9,1,9.104,0.00186328,0.149113,14,9,221469,AVL
63,14,4926,10.5355,9,1,9.123,0.00185201,0.150334,14,9,224812,AVL
64,14,4971,10.549,9,1,9.201,0.00185094,0.151708,14,9,227747,AVL
65,14,5032,10.5662,9,1,9.255,0.00183923,0.153569,14,9,233376,AVL
66,14,5056,10.5716,9,1,9.358,0.00185087,0.154302,14,9,237754,AVL
67,14,5107,10.5841,9,1,9.697,0.00189877,0.155858,14,9,243033,AVL
68,14,5136,10.5929,9,1,9.821,0.00191219,0.156743,14,9,245406,AVL
69,14,5158,10.6002,9,1,10.102,0.00195851,0.157414,14,9,248041,AVL
70,14,5197,10.6113,9,1,10.383,0.00199788,0.158605,14,9,250648,AVL
71,14,5246,10.6247,9,1,11.023,0.00210122,0.1601,14,9,254877,AVL
72,14,5272,10.6328,9,1,11.3,0.0021434,0.160894,14,9,257440,AVL
73,14,5317,10.6415,9,1,11.692,0.00219898,0.162267,14,9,261806,AVL
74,14,5393,10.6614,9,1,12.517,0.00232097,0.164586,14,9,270119,AVL
75,14,5411,10.6673,9,1,12.729,0.00235243,0.165136,14,9,272152,AVL
76,14,5483,10.6858,9,1,13.465,0.00245577,0.167333,14,9,281229,AVL
77,14,5544,10.7022,9,1,13.826,0.00249387,0.169195,14,9,285048,AVL
78,14,5580,10.7145,9,1,14.163,0.00253817,0.170293,14,9,288998,AVL
79,14,5638,10.7292,9,1,14.675,0.00260287,0.172063,14,9,295354,AVL
80,14,5715,10.7508,9,1,15.272,0.00267227,0.174413,14,9,301472,AVL
81,14,5765,10.7636,9,1,15.726,0.00272784,0.175939,14,9,305319,AVL
82,14,5834,10.7818,9,1,16.525,0.00283253,0.178045,14,9,313051,AVL
83,14,5919,10.8037,9,1,17.764,0.00300118,0.180639,14,9,327617,AVL
84,14,5975,10.8161,9,1,18.262,0.0030564,0.182348,14,9,333687,AVL
85,14,5988,10.8193,9,1,18.321,0.00305962,0.182745,14,9,334972,AVL
86,14,6006,10.8235,9,1,18.367,0.00305811,0.183294,14,9,336008,AVL
87,14,6020,10.8276,9,1,18.457,0.00306595,0.183721,14,9,337115,AVL
88,14,6036,10.8322,9,1,18.536,0.00307091,0.18421,14,9,338883,AVL
89,14,6095,10.8484,9,1,18.906,0.00310189,0.18601,14,9,347362,AVL
90,14,6117,10.8537,9,1,18.965,0.00310038,0.186682,14,9,348822,AVL
91,14,6185,10.8686,9,1,19.28,0.00311722,0.188757,14,9,356845,AVL
92,14,6243,10.8816,9,1,19.565,0.00313391,0.190527,14,9,363668,AVL
93,14,6312,10.8983,9,1,19.969,0.00316366,0.192633,14,9,375049,AVL
94,14,6374,10.9128,9,1,20.177,0.00316552,0.194525,14,9,382433,AVL
95,14,6435,10.927,9,1,20.34,0.00316084,0.196387,14,9,389600,AVL
96,14,6491,10.9404,9,1,20.395,0.00314204,0.198096,14,9,395852,AVL
97,14,6516,10.9458,9,1,20.427,0.0031349,0.198859,14,9,399363,AVL
98,14,6556,10.9555,9,1,20.523,0.00313041,0.200079,14,9,402693,AVL
99,14,6603,10.9653,9,1,20.673,0.00313085,0.201514,14,9,409572,AVL
100,14,6634,10.9717,9,1,20.776,0.00313175,0.20246,14,9,412289,AVL
101,14,6664,10.9794,9,1,20.909,0.00313761,0.203375,14,9,416570,AVL
102,14,6695,10.9878,9,1,21.003,0.00313712,0.204321,14,9,419628,AVL
103,14,6715,10.9923,9,1,21.085,0.00313999,0.204932,14,9,422158,AVL
104,14,6775,11.0056,9,1,21.24,0.00313506,0.206763,14,9,428554,AVL
105,14,6810,11.0138,9,1,21.398,0.00314214,0.207831,14,9,432894,AVL
106,14,6863,11.0251,9,1,21.552,0.00314032,0.209449,14,9,438337,AVL
107,14,6885,11.0289,9,1,21.582,0.00313464,0.21012,14,9,440116,AVL
108,14,6900,11.0312,9,1,21.611,0.00313203,0.210578,14,9,441079,AVL
109,14,6923,11.0367,9,1,21.692,0.00313332,0.21128,14,9,443985,AVL
110,14,6979,11.0489,9,1,21.83,0.00312796,0.212989,14,9,449888,AVL
111,14,7016,11.0554,9,1,22.31,0.00317987,0.214118,14,9,454684,AVL
112,14,7044,11.0612,9,1,22.747,0.00322927,0.214972,14,9,458932,AVL
113,14,7077,11.0684,9,1,22.925,0.00323937,0.215979,14,9,461380,AVL
114,14,7172,11.0887,9,1,23.138,0.00322616,0.218879,14,9,468655,AVL
115,14,7239,11.1043,9,1,23.347,0.00322517,0.220923,14,9,475767,AVL
116,14,7272,11.1103,9,1,23.505,0.00323226,0.221931,14,9,479530,AVL
117,14,7279,11.1118,9,1,23.581,0.00323959,0.222144,14,9,480918,AVL
118,14,7313,11.119,9,1,23.835,0.00325926,0.223182,14,9,486169,AVL
